id	description
9440501	                    
9440502	                    
9440503	                    
9440601	                    
9440602	                    
9440603	                    
9440701	                    
9440702	                    
9440703	                    
9440801	                    
9440802	                    
9440803	                    
9440804	                    
9450101	                    
9450102	                    
9450103	                    
9450201	                    
9450202	                    
9450203	                    
9450301	                    
9450302	                    
9450303	                    
9450304	                    
9450401	                    
9450402	                    
9450403	                    
9450404	                    
9450501	                    
9450502	                    
9450503	                    
9450504	                    
9450601	                    
9450602	                    
9450603	                    
9450604	                    
9450701	                    
9450702	                    
9450703	                    
9450704	                    
9450801	                    
9450802	                    
9450803	                    
9450804	                    
9450901	                    
9450902	                    
9450903	                    
9450904	                    
9460101	                    
9460102	                    
9460103	                    
9460201	                    
9460202	                    
9460203	                    
9460301	                    
9460302	                    
9460303	                    
9460401	                    
9460402	                    
9460403	                    
9460404	                    
9460501	                    
9460502	                    
9460503	                    
9460601	                    
9460602	                    
9460603	                    
9460701	                    
9460702	                    
9460703	                    
9460801	                    
9460802	                    
9460803	                    
9470101	                    
9470102	                    
9470201	                    
9470202	                    
9470203	                    
9470301	                    
9470302	\                   
9470303	                    
9470401	                    
9470402	                    
9470403	                    
9470501	                    
9470502	                    
9470503	                    
9470601	                    
9470602	                    
9470701	                    
9470702	                    
9470703	                    
9470801	                    
9470802	                    
9470803	                    
9480101	                    
9480201	                    
9480401	                    
9480402	                    
9480403	                    
9480404	                    
9480501	                    
9480502	                    
9480503	                    
9480601	                    
9480602	                    
9480603	                    
9480701	                    
9480702	                    
9480703	                    
9480801	                    
9480802	                    
9480803	                    
9490101	COMM WHSE           
9490401	                    
9490402	                    
9490403	                    
9490501	                    
9490502	                    
9490503	                    
9490601	                    
9490602	                    
9490603	                    
9490701	                    
9490702	                    
9490703	                    
9490704	                    
9490801	                    
9490802	                    
9490803	                    
9500000	                    
9700001	                    
9700002	                    
9700003	                    
9700004	                    
9700005	                    
9700006	                    
9700007	                    
9700008	                    
9700009	                    
9993640	                    
