IMDESC	ITMDSC	PRICCD	IMLIST	IMTCST	GROUP	IMSTYL	IMRANK	IMGEN	IMXRBC	AMNAME	ITEM	IMMCST
EXT PROTECTION FRNTLD/WSHR 3 YR	                                        	0	149	45	82	AB	7	90001745	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RT3E                                	45
EXT PROTECTION FRNTLD/WSHR 5 YR	                                        	0	199	74	82	AB	7	90001753	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RT5E                                	26
EXT PROTECTION ELEC/DRYER 2 YR 	                                        	0	99	26	82	AB	7	90001761	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RU2E                                	26
EXT PROTECTION ELEC/DRYER 3 YR 	                                        	0	149	39	82	AB	7	90001779	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RU3E                                	39
EXT PROTECTION ELEC/DRYER 5 YR 	                                        	0	199	66	82	AB	7	90001787	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RU5E                                	66
EXT PROTECTION GAS/DRYER 2 YR  	                                        	0	99	26	82	AB	7	90001795	                    	TMIO DISTRIBUTION, LLC        	3104RV2E                                	26
EXT PROTECTION GAS/DRYER 3 YR  	                                        	0	149	39	82	AB	7	90001802	                    	TMIO DISTRIBUTION, LLC        	3104RV3E                                	39
EXT PROTECTION GAS/DRYER 5 YR  	                                        	0	199	66	82	AB	7	90001810	                    	TMIO DISTRIBUTION, LLC        	3104RV5E                                	66
EXT PROTECTION STKLNDRY 2 YR   	                                        	0	99	26	82	AB	7	90001828	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RW2E                                	26
EXT PROTECTION STKLNDY 3 YR    	                                        	0	149	66	82	AB	7	90001836	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RW3E                                	66
EXT PROTECTION STKLNDRY 5 YR   	                                        	0	199	116	82	AB	7	90001844	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RW5E                                	116
EXT PROTECTION TPMT/REFRIG 2 YR	                                        	0	79	20	82	AB	7	90001852	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RM2D                                	20
EXT PROTECTION TPMT/REFRIG 3 YR	                                        	0	119	31	82	AB	7	90001860	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RM3D                                	31
EXT PROTECTION TPMT/REFRIG 5 YR	                                        	0	199	53	81	SC	7	90001878	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RM5D                                	53
EXT PROTECTION SXS/REFRIG 2 YR 	                                        	0	79	20	82	AB	7	90001886	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RN2D                                	20
EXT PROTECTION SXS/REFRIG 3 YR 	                                        	0	119	31	82	AB	7	90001894	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RN3D                                	31
EXT PROTECTION SXS/REFRIG 5 YR 	                                        	0	199	53	82	AB	7	90001901	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RN5D                                	53
EXT PROTECTION BTMMT/FRIG 2 YR 	                                        	0	79	20	82	AB	7	90001919	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RO2D                                	20
EXT PROTECTION BTMMT/FRIG 3 YR 	                                        	0	119	31	82	AB	7	90001927	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RO3D                                	31
EXT PROTECTION BTMMT/FRIG 5 YR 	                                        	0	199	53	81	SC	7	90001935	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RO5D                                	53
EXT PROTECTION CTRDPT/FRIG 2 YR	                                        	0	79	20	82	AB	7	90001943	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RQ2D                                	20
EXT PROTECTION CTRDPT/FRIG 3 YR	                                        	0	119	31	82	AB	7	90001951	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RQ3D                                	31
EXT PROTECTION CTRDPT/FRIG 5 YR	                                        	0	199	53	82	AB	7	90001969	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RQ5D                                	53
EXT PROTECTION UNDRCTR 2 YR    	                                        	0	79	20	82	AB	7	90001977	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RR2D                                	20
EXT PROTECTION UNDRCTR 3 YR    	                                        	0	119	31	82	AB	7	90001985	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RR3D                                	31
EXT PROTECTION UNDRCTR 5 YR    	                                        	0	199	53	82	AB	7	90001993	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RR5D                                	53
EXT PROTECTION TPMT/FRIG 2 YR  	                                        	0	139	26	82	AB	7	90002008	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RM2E                                	26
EXT PROTECTION TPMT/FRIG 3 YR  	                                        	0	159	39	82	AB	7	90002016	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RM3E                                	39
EXT PROTECTION TPMT/FRIG 5 YR  	                                        	0	239	66	82	AB	7	90002024	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RM5E                                	66
EXT PROTECTION SXS/FRIG 2 YR   	                                        	0	139	26	82	AB	7	90002032	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RN2E                                	26
EXT PROTECTION SXS/FRIG 3 YR   	                                        	0	159	39	82	AB	7	90002040	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RN3E                                	39
EXT PROTECTION SXS/FRIG 5 YR   	                                        	0	239	66	82	AB	7	90002058	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RN5E                                	66
EXT PROTECTION BTMMT/FRIG 2 YR 	                                        	0	169	26	82	AB	7	90002066	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RO2E                                	45
EXT PROTECTION BTMMT/FRIG 3 YR 	                                        	0	209	39	82	AB	7	90002074	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RO3E                                	74.88
EXT PROTECTION BTMMT/FRIG 5 YR 	                                        	0	289	66	82	AB	7	90002082	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RO5E                                	117.24
EXT PROTECTION BI/REFRIG 2 YR  	                                        	0	139	26	82	AB	7	90002090	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RP2E                                	26
EXT PROTECTION BI/REFRIG 3 YR  	                                        	0	159	39	82	AB	7	90002107	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RP3E                                	39
EXT PROTECTION BI/REFRIG 5 YR  	                                        	0	239	66	82	AB	7	90002115	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RP5E                                	66
EXT PROTECTION CTRDPT/FRIG 2 YR	                                        	0	139	26	82	AB	7	90002123	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RQ2E                                	26
EXT PROTECTION CTRDPT/FRIG 3 YR	                                        	0	159	39	82	AB	7	90002131	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RQ3E                                	39
EXT PROTECTION CTRDPT/FRIG 5 YR	                                        	0	239	66	82	AB	7	90002149	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RQ5E                                	66
EXT PROTECTION UNDRCTR 2 YR    	                                        	0	139	26	82	AB	7	90002157	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RR2E                                	26
EXT PROTECTION UNDRCTR 3 YR    	                                        	0	159	39	82	AB	7	90002165	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RR3E                                	39
EXT PROTECTION UNDRCTR 5 YR    	                                        	0	239	66	81	SC	7	90002173	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RR5E                                	66
EXT PROTECTION HOOD 2 YR       	                                        	0	79	20	82	AB	7	90002181	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RG2D                                	20
EXT PROTECTION HOOD 3 YR       	                                        	0	119	31	82	AB	7	90002199	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RG3D                                	31
EXT PROTECTION HOOD 5 YR       	                                        	0	199	53	82	AB	7	90002206	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RG5D                                	53
EXT PROTECTION DWNDFT 2 YR     	                                        	0	79	20	82	AB	7	90002214	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RH2D                                	20
EXT PROTECTION DWNDFT 3 YR     	                                        	0	119	31	82	AB	7	90002222	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RH3D                                	31
EXT PROTECTION DWNDFT 5 YR     	                                        	0	199	53	82	AB	7	90002230	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RH5D                                	53
EXT PROTECTION HOOD 2 YR       	                                        	0	99	26	82	AB	7	90002248	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RG2E                                	26
EXT PROTECTION DWNDFT 3 YR     	                                        	0	149	39	82	AB	7	90002256	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RH3E                                	39
EXT PROTECTION HOOD 3 YR       	                                        	0	149	39	82	AB	7	90002264	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RG3E                                	39
EXT PROTECTION HOOD 5 YR       	                                        	0	259	66	82	AB	7	90002272	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RG5E                                	66
EXT PROTECTION DWNDFT 2 YR     	                                        	0	99	26	82	AB	7	90002280	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RH2E                                	26
EXT PROTECTION DWNDFT 5 YR     	                                        	0	259	66	82	AB	7	90002298	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RH5E                                	66
EXT PROTECTION MAJOR APPLIANCE 	5 YEAR UP TO $4999                      	0	221.99	110.62	82	AB	7	90002305	                    	TMA INC                       	5Y4999MA                                	110.62
EXT PROTECTION MAJOR APPLIANCE 	5 YEAR UP TO $9999                      	0	365.99	182.72	82	AB	7	90002313	                    	TMA INC                       	5Y9999MA                                	182.72
EXT PROTECTION MAJOR APPLIANCE 	5 YEAR UP TO $1999                      	0	158.99	79.25	81	SC	7	90002321	                    	TMA INC                       	5Y1999MA                                	79.25
EXT PROTECTION MAJOR APPLIANCE 	5 YEAR UP TO $2999                      	0	183.99	91.91	82	AB	7	90002339	                    	TMA INC                       	5Y2999MA                                	91.91
EXT PROTECTION MAJOR APPLIANCE 	5 YEAR UP TO $19,999                    	0	623.99	311.58	82	AB	7	90002347	                    	TMA INC                       	5Y19999MA                               	311.58
EXT PROTECTION REFRIGERATOR 5 Y	EAR UP TO $4999                         	0	265.99	132.85	81	SC	7	90002355	                    	TMA INC                       	5Y4999RF                                	132.85
EXT PROTECTION PLAN MAJOR APPLI	ANCE 5 YEAR UP TO $599                  	0	91.99	45.84	81	SC	7	90002363	                    	TMA INC                       	5Y599MA                                 	45.84
EXT PROTECTION MAJOR APPLIANCE 	5 YEAR UP TO $999                       	0	114.99	51.04	81	SC	7	90002371	                    	WHIRLPOOL CORPORATION         	5Y999MA                                 	51.04
EXT PROTECTION REFRIGERATOR 5 Y	EAR UP TO $19,999                       	0	659.03	263.61	81	SC	7	90002389	                    	BEST BRANDS PLUS / MEGA GROUP 	5Y19999RF                               	263.61
EXT PROTECTION 5 YEAR REFRIGERA	TOR UP TO $2,999                        	0	219.18	128.42	81	SC	7	90002397	                    	BEST BRANDS PLUS / MEGA GROUP 	5Y2999RF                                	128.42
EXT PROTECTION 5 YEAR MAJOR APP	LIANCE UP TO $1,499                     	0	181.03	72.41	81	SC	7	90002404	                    	BEST BRANDS PLUS / MEGA GROUP 	5Y1499MA                                	72.41
EXT PROTECTION ICEMAKER 5 YEAR 	UP TO $2999                             	0	589.43	235.77	82	AB	7	90002412	                    	WHIRLPOOL CORPORATION         	5Y2999IC                                	235.77
EXT PROTECTION 5 YEAR WASHER UP	 TO $1,499                              	0	299	77.07	81	SC	7	90002420	                    	BEST BRANDS PLUS / MEGA GROUP 	5Y1499WS                                	77.07
EXT PROTECTION REFRIGERATOR 5 Y	EAR UP TO $1,999                        	0	399	0	81	SC	7	90002438	                    	BEST BRANDS PLUS / MEGA GROUP 	5Y1999RF                                	0
DEPOSIT                       0	                                        	0	0	0	0	  	3	1	                    	MISC 9 CODES / CORPORATE      	2103000	0
SALES TAX - TENNESSEE          	                                        	0	0	0	0	  	3	2	                    	MISC 9 CODES / CORPORATE      	2200000	0
FREIGHT-IN CHARGE             2	                                        	0	999.99	0	0	  	3	3	                    	MISC 9 CODES / CORPORATE      	4121000	0
FREIGHT-IN CHARGE             3	                                        	0	0	0	0	  	3	4	                    	MISC 9 CODES / CORPORATE      	4131000	0
OVERAGE PAYMENT RECEIVED FOR   	THIS LOT                                	0	0	0	0	  	3	20	                    	MISC 9 CODES / CORPORATE      	2104000	0
FREIGHT-IN CHARGE             K	                                        	0	0	0	0	  	3	30	                    	MISC 9 CODES / CORPORATE      	4151000	0
LABOR FOR MERCHANDISE REPAIR  2	                                        	0	0	0	0	  	3	50	                    	MISC 9 CODES / CORPORATE      	5502112	0
INSTALLATION FEE               	                                        	0	0	0	0	  	3	51	                    	MISC 9 CODES / CORPORATE      	5502112INST                             	0
NON-INVENTORY APPLIANCE PARTS  	                                        	0	0	0	0	  	3	52	                    	MISC 9 CODES / CORPORATE      	5600104	0
ADVERTISING LIGHTING          2	                                        	0	0	0	0	  	3	53	                    	MISC 9 CODES / CORPORATE      	5800102	0
ADVERTISING                   4	                                        	0	0	0	0	  	3	54	                    	MISC 9 CODES / CORPORATE      	5800104	0
SALES PROMOTION               2	                                        	0	0	0	0	  	3	56	                    	MISC 9 CODES / CORPORATE      	6000102	0
SALES PROMOTION               K	                                        	0	0	0	0	  	3	58	                    	MISC 9 CODES / CORPORATE      	6000109	0
SHARED BUILDING UTILITY COST   	                                        	0	0	0	0	  	3	59	                    	MISC 9 CODES / CORPORATE      	6300111UTIL                             	0
FREIGHT CHARGE                1	                                        	0	0	0	0	  	3	75	                    	MISC 9 CODES / CORPORATE      	7100101	0
FREIGHT CHARGE                2	                                        	0	0	0	0	  	3	76	                    	MISC 9 CODES / CORPORATE      	7100102	0
FREIGHT-OUT CHARGE            4	                                        	0	0	0	0	  	3	85	                    	MISC 9 CODES / CORPORATE      	7100104	0
SHIPPING AND HANDLING CHARGE   	                                        	0	0	0	0	  	3	91	                    	MISC 9 CODES / CORPORATE      	7100111	0
FREIGHT OUT CHARGE - UPS       	                                        	0	0	0	0	  	3	111	                    	MISC 9 CODES / CORPORATE      	7101111UPS                              	0
FREIGHT OUT CHARGE - FED-EX    	                                        	0	0	0	0	  	3	112	                    	MISC 9 CODES / CORPORATE      	7102111FEDX                             	0
GIFT CERTIFICATE              2	                                        	0	0	0	0	  	3	130	                    	MISC 9 CODES / CORPORATE      	9200102CER                              	0
RESTOCKING CHARGE             1	                                        	0	0	0	0	  	3	150	                    	MISC 9 CODES / CORPORATE      	9200101RST                              	0
DESIGN FEE - LIGHTING         2	                                        	0	0	0	0	  	3	181	                    	MISC 9 CODES / CORPORATE      	9200102DSN                              	0
LABOR CHARGE                  2	                                        	0	0	0	0	  	3	333	                    	MISC 9 CODES / CORPORATE      	9200102LAB                              	0
RENTAL FEE                    2	                                        	0	0	0	0	  	3	334	                    	MISC 9 CODES / CORPORATE      	9200102RNT                              	0
RESTOCKING CHARGE             2	                                        	0	0	0	0	  	3	335	                    	MISC 9 CODES / CORPORATE      	9200102RST                              	0
GIFT CERTIFICATE              4	                                        	0	0	0	0	  	3	336	                    	MISC 9 CODES / CORPORATE      	9200104CER                              	0
DELIVERY CHARGE               4	                                        	0	0	0	0	  	3	337	                    	MISC 9 CODES / CORPORATE      	9200104DEL                              	0
EXTENDED WARRANTY              	                                        	0	0	0	0	  	3	338	                    	MISC 9 CODES / CORPORATE      	9200104EXT                              	0
INSTALLATION FEE              4	                                        	0	0	0	0	  	3	340	                    	MISC 9 CODES / CORPORATE      	9200104INST                             	0
RESTOCKING CHARGE             4	                                        	0	0	0	0	  	3	345	                    	MISC 9 CODES / CORPORATE      	9200104RST                              	0
LIGHTING DESIGN AUDIT          	                                        	0	0	0	0	  	3	355	                    	MISC 9 CODES / CORPORATE      	9200110AUD                              	0
SHARED INSURANCE & R/E TAX COST	                                        	0	0	0	0	  	3	399	                    	MISC 9 CODES / CORPORATE      	9210120COST                             	0
MONTHLY RENT                   	                                        	0	0	0	0	  	3	400	                    	MISC 9 CODES / CORPORATE      	9210120RENT                             	0
DISCOUNT - COUPON             0	                                        	0	0	0	0	  	3	401	                    	MISC 9 CODES / CORPORATE      	9800108CPN                              	0
CASH DISCOUNT                 0	                                        	0	0	0	0	  	3	402	                    	MISC 9 CODES / CORPORATE      	9800108CSH                              	0
DISCOUNT CODE                 0	                                        	0	0	0	0	  	3	445	                    	MISC 9 CODES / CORPORATE      	9800108PRM                              	0
DISCOUNT - TENNE-SENIOR       0	                                        	0	0	0	0	  	3	446	                    	MISC 9 CODES / CORPORATE      	9800108TNSR                             	0
GIFT CERTIFICATE              1	                                        	0	0	0	0	  	3	501	                    	MISC 9 CODES / CORPORATE      	9200101CER                              	0
BASE HOUSE LIGHTING PACKAGE    	                                        	0	0	0	0	  	7	12000189	                    	MISC 9 CODES / CORPORATE      	1204000 BASE HOUSE LIGHTING             	0
OPTION                         	                                        	0	0	0	0	  	7	12000197	                    	MISC 9 CODES / CORPORATE      	120400OPTN                              	0
REBATE ON LIGHTING PACKAGE     	                                        	0	0	0	0	  	3	12000204	                    	MISC 9 CODES / CORPORATE      	1204000 LIGHTING REBATE                 	0
LOGANS MAIN LIGHT PACKAGE      	                                        	0	0	0	0	  	3	12000246	                    	MISC 9 CODES / CORPORATE      	1204000 LOGANS MAIN                     	0
LOGANS SITE LITES              	                                        	0	0	0	0	  	3	12000254	                    	MISC 9 CODES / CORPORATE      	1204000 LOGANS SITE                     	0
LOGANS EXTRA LAMPS             	                                        	0	0	0	0	  	3	12000262	                    	MISC 9 CODES / CORPORATE      	1204000 EXTRA LAMPS                     	0
KICHLER LANDSCAPE LIGHTING     	REBATE                                  	0	0	0	0	  	3	12000296	                    	MISC 9 CODES / CORPORATE      	1208000	0
HOLD ORDER ADJUSTMENTS         	                                        	0	0	0	0	  	3	12000311	                    	MISC 9 CODES / CORPORATE      	1204000ADJ                              	0
SALES TAX - PENSACOLA FL       	                                        	0	0	0	0	  	3	22000070	                    	MISC 9 CODES / CORPORATE      	2200140	0
SALES TAX - KENTUCKY           	                                        	0	0	0	0	  	3	22000088	                    	MISC 9 CODES / CORPORATE      	2200150	0
SALES TAX - ORLANDO FL         	                                        	0	0	0	0	  	3	22000096	                    	MISC 9 CODES / CORPORATE      	2200141	0
SALES TAX - NEW MEXICO         	                                        	0	0	0	0	  	3	22000103	                    	MISC 9 CODES / CORPORATE      	2200160	0
SALES TAX - GEORGIA            	                                        	0	0	0	0	  	3	22000111	                    	MISC 9 CODES / CORPORATE      	2200170	0
SALES TAX - NORTH CAROLINA     	                                        	0	0	0	0	  	3	22000129	                    	MISC 9 CODES / CORPORATE      	2200180	0
SALES TAX - MINNESOTA          	                                        	0	0	0	0	  	3	22000145	                    	MISC 9 CODES / CORPORATE      	2200155	0
SALES TAX - NEW YORK           	                                        	0	0	0	0	  	7	22000153	                    	MISC 9 CODES / CORPORATE      	2200165	0
SALES TAX - CALIFORNIA         	                                        	0	0	0	0	  	3	22000608	                    	MISC 9 CODES / CORPORATE      	2200145	0
SALES TAX - HAWAII             	                                        	0	0	0	0	  	3	22000616	                    	MISC 9 CODES / CORPORATE      	2200175	0
SALES TAX - MISSISSIPPI        	                                        	0	0	0	0	  	3	22000624	                    	MISC 9 CODES / CORPORATE      	2200185	0
SALES TAX - WASHINGTON STATE   	                                        	0	0	0	0	  	3	22000632	                    	MISC 9 CODES / CORPORATE      	2200190	0
SALES TAX - LOUISIANA          	                                        	0	0	0	0	  	3	22000640	                    	MISC 9 CODES / CORPORATE      	2200195	0
SALES TAX - OKLAHOMA           	                                        	0	0	0	0	  	3	22000658	                    	MISC 9 CODES / CORPORATE      	2200135	0
SALES TAX - UTAH               	                                        	0	0	0	0	  	3	22000666	                    	MISC 9 CODES / CORPORATE      	2200200	0
SALES TAX - VIRGINIA           	                                        	0	0	0	0	  	3	22000674	                    	MISC 9 CODES / CORPORATE      	2200225	0
