IMDESC	ITMDSC	PRICCD	IMLIST	IMTCST	GROUP	IMSTYL	IMRANK	IMGEN	IMXRBC	AMNAME	ITEM	IMMCST
SEAGULL HANDLING CHARGE        	                                        	0	99.99	0	0	  	3	92000076	                    	MISC 9 CODES / CORPORATE      	9200101SEGL                             	0
DELIVERY CHARGE                	                                        	0	0	0	0	  	3	92000084	                    	MISC 9 CODES / CORPORATE      	9200102 DELIVERY                        	0
RA-RSP PROGRAMMING CHARGE      	                                        	0	999999.99	0.01	0	  	7	92000092	                    	MISC 9 CODES / CORPORATE      	9200101PRG                              	0.01
FUEL SURCHARGE                 	                                        	0	0	0	0	  	1	92000109	                    	MISC 9 CODES / CORPORATE      	9200102 FUEL                            	0
FUEL SURCHARGE                 	                                        	0	0	0	0	  	1	92000117	                    	MISC 9 CODES / CORPORATE      	9200104 FUEL                            	0
BUILDER REBATE                 	                                        	0	0.01	0.01	0	  	1	92000125	                    	MISC 9 CODES / CORPORATE      	9201102	0
LFL GIFT CERTIFICATE           	                                        	0	0	0	0	  	3	92000159	                    	MISC 9 CODES / CORPORATE      	9200130CER                              	0
INSTALLATION CHARGE            	                                        	0	0	0	0	  	3	92000167	                    	MISC 9 CODES / CORPORATE      	9200102 INSTALLATION                    	0
LABOR CHARGE APPLIANCES        	                                        	0	0	0	0	  	3	92000191	                    	MISC 9 CODES / CORPORATE      	9200104 APPL LABOR                      	0
KEYING CHARGE                  	                                        	0	0	0	0	  	3	92000208	                    	MISC 9 CODES / CORPORATE      	9200130KEY                              	0
HARDWARE GIFT CERTIFICATE      	                                        	0	0	0	0	  	3	92000216	                    	MISC 9 CODES / CORPORATE      	9200103CER                              	0
CRATE FEE                      	                                        	0	0	0	0	  	3	92000224	                    	MISC 9 CODES / CORPORATE      	9200102 CRATE FEE                       	0
LABOR CHARGE - NATIONAL ACCTS  	                                        	0	0	0	0	  	3	92000232	                    	MISC 9 CODES / CORPORATE      	9200111LAB                              	0
HARDWARE KEY CHARGE            	                                        	0	0	0	0	  	3	92000240	                    	MISC 9 CODES / CORPORATE      	9200103KEY                              	0
STORAGE FEE                    	                                        	0	0	0	0	  	3	92000258	                    	MISC 9 CODES / CORPORATE      	9200104STR                              	0
BANK SERVICE FEES              	                                        	0	0	0	0	  	3	97100029	                    	MISC 9 CODES / CORPORATE      	9710108	0
VALUED CUSTOMER DISCOUNT       	                                        	0	0	0	0	  	3	98000012	                    	MISC 9 CODES / CORPORATE      	9800130DISC                             	0
MINKA AIR TRADE IN DISCOUNT    	                                        	0	0	0	0	  	3	98000020	                    	MISC 9 CODES / CORPORATE      	9-9800108MAD                            	0
INTERNET DISCOUNT COUPON       	                                        	0	0	0	0	  	3	98000038	                    	MISC 9 CODES / CORPORATE      	9801108	0
PREDATORS DISCOUNT COUPON      	                                        	0	0	0	0	0	3	98000046	                    	MISC 9 CODES / CORPORATE      	9800108PRD                              	0
FACE BOOK DISCOUNT COUPON      	                                        	0	0	0	0	0	3	98000054	                    	MISC 9 CODES / CORPORATE      	9800108FBK                              	0
15% UGLY SWEATER DISCOUNT      	                                        	0	0	0	83	AA	3	98000062	                    	MISC 9 CODES / CORPORATE      	9800108UGLY                             	0
IN STORE $10.00 DISCOUNT       	                                        	0	10	0	0	0	3	98000070	                    	MISC 9 CODES / CORPORATE      	9800108INSTORE                          	0
CMA DISCOUNT COUPON            	                                        	0	25	0		  	3	98000088	                    	MISC 9 CODES / CORPORATE      	9800108CMA                              	0
CLEARANCE DISCOUNT 10%         	                                        	0	0	0	0	  	3	98000096	                    	MISC 9 CODES / CORPORATE      	9800108CLR                              	0
