AMVEND	AMNAME	AMADR1	AMADR2	AMADR3	AMTELE	AMFRGT	actual_term
81124	MOUSER CUSTOM CABINETRY	2112  N HWY 31W	ELIZABETHTOWN, KY 42701  		2707377477	0	2% 10Days NET 30Days
81129	ESTES EXPRESS	P O BOX 25612	RICHMOND VA  23260		0	0	NET
81130	PLAN EXPRESS	P O BOX 26657		SCOTTSDALE AZ 85255	6152592230	0	NET
81132	SOUTHERN TROPHY HOUSE	2705 NOLENSVILLE ROAD	NASHVILLE, TN  37211     		6152562500	0	NET
81134	FINAL FILM	518 ASH STREET	NASHVILLE, TN  37203     		6152559470	0	NET 30Days
81135	PEAK - RYZEX INC	8458 SOLUTIONS CENTER		CHICAGO IL 60677-8002	8882757325	0	NET
81136	PACKAGING FULFILLMENT	P O BOX 41713	NASHVILLE, TN  37204     		0	0	NET 30Days
81137	OLD DOMINION FREIGHT LINES INC	P O BOX 198475		ATLANTA GA 30384-8475	0	0	NET
81140	AT&T MOBILITY	P O BOX 6463	CAROL STREAM IL	60197-646	8005332476	0	NET 10Days
81141	ACORN MANUFACTURING CO INC	P O BOX 31		MANSFIELD MA 02048	8008350121	0	1% 10Days NET 30Days
81143	BLUEFIELD FLORIST & GARDEN	2035 RICHARD JONES RD		NASHVILLE TN 37215	6152695733	0	NET
81150	TN DEPT OF LABOR & WORKFORCE	ELEVATOR DIVISION	220 FRENCH LANDING DRIVE	NASHVILLE TN 37243-1002	0	0	NET
81152	VICKIE FALK	100 VAUGHNWOOD DRIVE	LAVERGNE TN  37086		6157936051	0	ON REC
81157	IBM CORPORATION LOCKBOX 105063	P O BOX 534151	ATLANTA GA 30353-4151	ATTN PEGGY MORRIS	8004260569	0	NET 15Days
81158	AMERICAN EXPRESS CARD		P O BOX 650448	DALLAS TX 75265-0448	0	0	NET
81161	BEN POUNDERS COMPANY	939 WOODLAND ST	NASHVILLE TN 37206		6152264481	0	NET
81164	MICOM SYSTEMS	300 WHITE BRIDGE RD	STE A	NASHVILLE TN 37209-3209	6153563884	0	NET
81166	XO COMMUNICATIONS	C/O VERIZON	P O BOX 15043	ALBANY NY 12212-5043	6157772273	0	NET
81167	SUNBELT FURNITUR EXPRESS	P O BOX 487	HICKORY NC 28603-0487		8284647240	0	NET
81171	ASCOM HASLER MAILING	P O BOX 895	SHELTON CT 06484-0895		2039261087	0	NET
81172	HUFF APPLIANCE SERVICE	1314 WOODLAND ST	NASHVILLE TN 37206		6152262080	0	NET
81173	DAVID JACKSON	106 CRESTSIDE CT		SMYRNA TN 37167	6153370576	0	NET
81180	MAYNARD FIXTURCRAFT	617 NORRIS AVE	NASHVILLE TN 37204		6152550603	0	NET
81185	VILLAGE SQUARE CABINET SUPPLY	DIV RICHELLIEU AMERICA	621 AIRPARK CENTER	NASHVILLE, TN     37217  	6153992580	0	NET 30Days
81186	CHROMATICS PHOTOIMAGING	625 FOGG STREET	NASHVILLE, TN  37203-4662		6152540063	0	NET 30Days
81188	PATTY MARTIN	313 JERI COURT		ANTIOCH TN 37013	6153330439	0	NET
81189	NEXTEL COMMUNICATIONS	P O BOX 4191	CAROL STREAM IL	60197-4191	8006396111	0	NET
81193	SERVIT QUALITY SYSTEM SERVICES	P O BOX 2137	KENNESAW GA 30156		8003360374	0	NET
81194	PRIMUS FINANCIAL SERVICES	DEPARTMENT # 193901	P O BOX 55000	DETROIT MI 48255-1939	8009458000	0	NET
81195	SIRO DESIGNS	5001 N HIATUS RD	SUNRISE FL 33351		0	0	3% 30Days
81197	TONY SENTER	3640 TROUSDALE	NASHVILLE, TN            	37211	6159720047	0	NET  
81198	ERIC THOMAS	525 SHELBY AVE # 702		NASHVILLE TN 37206	6152603500	0	NET  
81199	THE HARTFORD	P O BOX 660916		DALLAS TX 75266-0916	0	0	NET  
81200	ZACHARY SMITH	212 AZALEA LANE		FRANKLIN TN 37064	0	0	NET  
81203	LINDSEY SANDERS	130 SADLE TREE CT		HERMITAGE TN 37076	6154747052	0	NET  
81205	WYATT CULVER	112 DEER RIDGE		HENDERSONVILLE TN 37075	6157146862	0	NET  
