IMDESC,ITMDSC,PRICCD,IMLIST,IMTCST,GROUP,IMSTYL,IMSER,IMRANK,IMGEN,IMXRBC,IMVND,ITEM,IMMCST
21616  FLUORESCENT 18IN T8  15W,                                        ,0,9.06,2.15,63,IC, ,1,300533,                    ,10003,F15T8/CW                                ,2.15
24441 F40T12 COOL WHITE DELUX  ,                                        ,0,2.5,1.5,63,IC, ,1,301101,24441-2             ,10003,F40CWX                                  ,1.29
24830  FLUOR 48IN T12       39W,                                        ,0,22.35,7.3,63,IC, ,8,301276,                    ,10003,F48T12/CW                               ,13.41
26001  FLUORESCENT 60IN T12 50W,                                        ,0,16,3.47,63,IC, ,1,301367,                    ,10003,F60T12/CW                               ,3.47
23116  FLUORESCENT  36IN T8 30W,                                        ,0,10.48,2.65,63,IC, ,1,307373,                    ,10003,F30T8/CW/24                             ,2.65
67533  HPS ED18 MOGUL BSE CLEAR,                                        ,0,20.49,14.23,63,IC, ,1,307729,                    ,10003,LU400/ECO                               ,13.56
14834  INCAN MED PINK      120V,                                        ,0,6.15,0.08,63,IC, ,1,308404,                    ,10003,50R20/PK                                ,3.69
64468  METALARC BT-56 MOGUL    ,                                        ,0,22.68,18.75,63,IC, ,1,309650,                    ,10003,M1000/U                                 ,18.75
20585 40W T5 FL TWIN 3500K     ,                                        ,0,14.33,8.6,63,IC, ,1,310722,                    ,10003,FT40DL/835/RS                           ,8.6
12763 100W A19 120V BUG-LITE   ,                                        ,0,2.42,0.59,63,IC, ,3,313586,                    ,10003,100A/Y/RP 120V                          ,0.59
21770 17WATT T8 2FT 741        ,                                        ,0,5.54,3.32,63,IC,N,1,314063,                    ,10003,FO17/741/ECO                            ,1.65
"21737 59W T8 96"" 3500K         ",                                        ,0,6.57,3.5,63,IC,N,9,314435,                    ,10003,FO96/735/ECO                            ,3.94
"22051 T8 6"" 3500 75CRI 32W     ",                                        ,0,10.52,4.05,63,IC,N,1,315152,                    ,10003,FBO32-735-6-ECO                         ,4.05
20668 CF18DD/E/841             ,                                        ,0,10.18,2.5,65,KC, ,8,315342,                    ,10003,CF18DD/E/841                            ,2.5
"21769 17W T8 24"" 3500K 78CRI   ",                                        ,0,4.32,2.9,63,IC, ,1,316241,                    ,10003,FO17/735/ECO                            ,1.65
"22052 32W T8 U-SHAPE 4100K 6""  ",                                        ,0,20.6,5.08,63,IC, ,1,316655,                    ,10003,FBO32/741/6/ECO                         ,4.68
20683 CF18DD/E/827             ,                                        ,0,6.48,2.5,63,IC, ,8,317132,                    ,10003,CF18DD/E/827                            ,2.5
15292 65W BR40 FLOOD 130V      ,                                        ,0,5.21,2.14,63,IC, ,3,317356,46135152924,10003,65BR/FL 130V                            ,2.72
16109 39W PAR 20 130V CAP FL   ,                                        ,0,7.15,3.71,63,IC, ,8,317926,                    ,10003,39PAR20/HAL/FL30 130V                   ,3.65
78362  L2 13W LED PAR 38 HD DIM,25° 30K    KIRKLANDS QUOTE # 8059456    ,0,65,12.8,63,IC,N,8,318833,                    ,10003,LED13PAR38/HD/DIM/930/NFL25             ,12.8
11 WATT DECORATIVE ORANGE 130  ,                                        ,0,1.2,0.55,0,Z7,N,3,13412698,                    ,10134,00060B 11S14/ORANGE                     ,0.55
6FT T12 72W HIGH OUTPUT DAY LIG,HT                                      ,0,12.95,4.6,63,IC, ,7,13415824,                    ,10134,00954B                                  ,4.6
4' T12 COOL WHITE SINGLE PIN   ,FLUORESCENT                             ,0,14.95,4.5,63,IC,N,7,13415882,                    ,10134,00888G                                  ,4.5
6' SINGLE PIN T12 FLUOR BULB   ,COOL WHITE                              ,0,15.95,5.99,63,IC,N,7,13416046,                    ,10134,00950B                                  ,5.99
8 FT T8 4100K FLOUR. H.O.BULB  ,24 CASE                                 ,0,0,12.79,63,IC,N,7,13416236,                    ,10134,04185H                                  ,12.79
F84 T12 DAY LIGHT FLUORESCENT  ,HIGH OUTPUT                             ,0,14.95,7.3,0,Z7,N,7,13416278,                    ,10134,00963A                                  ,7.3
SINGLE PIN STATIONARY FLUOR    ,SOCKET                                  ,0,4,1.39,0,Z7,N,3,13416377,                    ,10134,00897A                                  ,1.39
SINGLE PIN SPRING LOADED FLUOR ,SOCKET                                  ,0,4,1.39,0,Z7,N,3,13416385,                    ,10134,00896A                                  ,1.39
4W T6.5 FILAMENT LED 27K CLEAR ,E17 BASE                                ,0,5.4,2.7,63,KP, ,7,13915030,                    ,20139,5194000,2.7
03684 60W CLEAR TORPEDP CAND   ,                                        ,0,0.62,0.4,63,IC, ,1,17607964,                    ,20139,3684,0.22
4FT T8 TUBE GUARD BLUE         ,                                        ,0,4.5,2.25,63,IC, ,1,17611890,                    ,10134,1873A                                   ,2.25
50W BIAX TWIN TUBE 3500K RS    ,                                        ,0,27.62,17.95,63,IC,N,1,17612666,                    ,10134,F50BXSPX3500R                           ,17.95
25W 130V B10 CANDELABRA BASE   ,                                        ,0,1,0.45,63,IC, ,8,17613515,                    ,20439,A3674                                   ,0.27
40W 130V B10 CANDELABRA BASE   ,                                        ,0,0.78,0.36,63,KP, ,8,17613523,                    ,20439,A3675                                   ,0.27
50W JDR 120V STD BASE FL36     ,                                        ,0,12.99,3.95,63,IC, ,7,17615454,45923031397,20439,S3139                                   ,6.57
ADVENT LTG ALUM.WALL BRT 120/27, 1-FT39W/2G11 LAMP                      ,0,0,1,0,Z7,N,7,17746168,                    ,20177,AIW9029-1F39-120/277-PT46               ,1
"SENG LED- 6""LED DISC 13W 900L  ","3000K, 120V, WHITE TRIM                 ",0,14.95,5.3,0,Z7,N,7,17757181,                    ,20177,LD3000KNAE26W                           ,4.5
14W PAR30 SHORT NECK LED 2700K ,FLOOD LAMP                              ,0,12.5,0,63,IC,N,9,17757941,                    ,20177,S8934 CLOSE OUT                         ,0
5W 120V 3000K LED BI-PIN       ,                                        ,0,14.99,8.75,63,IC, ,7,17760655,                    ,20177,EA-G8-5.0W-001-3090-D                   ,8.75
GREEN CREATIVE - PAR 38 17W 30K,90CRI LED                 6 PER CTN     ,0,65.03,19.92,63,KP,N,7,17762768,                    ,20177,17PAR38DIM/930FL40/GU24                 ,18.58
23W TWIST SCREW-IN CFL 2700K   ,82 CRI (CASE QTY: 12)                   ,0,6.93,1.98,63,IC,N,7,19301473,                    ,50193,801023,1.98
9W LED A19 DIMMABLE 230° 27K   ,800L             REPLACES LED10A19D27K  ,0,5.4,3.92,63,IC,N,2,19301738,                    ,50193,L9A19D2527K                             ,3.51
45749  2' 17W  T8 4100K        ,                                        ,0,7.17,4.3,63,IC,N,9,21900320,                    ,10219,F17T8SPX41ECO                           ,4.3
47723 65W R30 FL/TEF 65BR30L/SS,                                        ,0,6.22,3.84,63,IC,N,1,21900502,                    ,10219,65R30FLSTGPQ1/6 120                     ,3.66
"10773   48"" FLUOR T12 60W HO   ",                                        ,0,8.28,4.97,63,IC,N,7,21900635,                    ,10219,F48T12/CW/HO                            ,4.97
47760(M175U)175W BUBD UNIV BT28,                                        ,0,19.6,11.76,63,IC,N,1,21900776,                    ,10219,MVR175/U                                ,11.76
43828 400W MH MOGUL BASE       ,                                        ,0,20.37,12.22,63,IC,N,8,21901013,                    ,10219,MVR400/U                                ,12.22
97614  4 PIN TRIPLE 2700K CFL  ,                                        ,0,12.25,5.49,0,Z7,N,3,21901237,                    ,10219,F26TBX/827/A/ECO                        ,5.49
46746 39W T5 4100K HO          ,                                        ,0,10.69,4.57,63,IC,N,2,21901451,                    ,10219,F39W/T5/841/ECO                         ,4.57
45743  17W T8/735              ,                                        ,0,5.88,3.53,63,IC,N,3,21901485,                    ,10219,F17T8/SP35/ECO                          ,3.53
10349 F30T8 APPLIANCE LAMP     ,                                        ,0,8.85,5.36,63,IC,N,1,21901881,                    ,10219,F30T8/CW/4                              ,5.1
89623  15W CF DIM CAPABLE      ,                                        ,0,15.6,9.36,63,IC, ,3,21902243,                    ,10219,FLE15HT3/2/DV/CD                        ,9.36
#73546  48WT PAR30 LONG NECK   ,                                        ,0,14.42,8.65,0,Z7,N,7,21902285,                    ,10219,48PAR30LN/HIR+/FL30                     ,8.65
72864 28 WATT T8 3500K         ,                                        ,0,6.48,2.6,63,IC,N,7,21903184,                    ,10219,F28T8SP35/UMX                           ,2.6
45748 17 WATT T8 4100 KELVIN   ,                                        ,0,6.12,3.67,63,IC,N,8,21903374,                    ,10219,F17T8/SP41/ECO                          ,3.67
63547  32W T8 FLUORESCENT      ,35K 85CRI 2925L BI-PIN BASE             ,0,5.25,1.5,63,IC,N,8,21904265,                    ,10219,F32T8/835/PRO/EC                        ,1.5
60W T12 8' COOL WHITE SINGLE   ,"PIN, FLUORSCENT TUBE                    ",0,8.78,3.51,63,IC,N,7,21904348,                    ,10219,68052,3.51
80045 F20T12 COOL WHITE        ,24 PACK                                 ,0,8.5,2.26,63,IC,N,3,21904356,                    ,10219,80045  F20T12/CW/ECO                    ,2.26
5W E25 NONDIM CRYSTAL TUBE BULB,                                        ,0,75,37.5,63,KP, ,7,29100386,                    ,30291,BB-TU11-E26-ND-CR-B                     ,37.5
40 WATT MED BASE ANTIQUE       ,HAIRPIN LAMP                            ,0,9,3.7,0,Z7,N,7,30100391,                    ,10301,134018,3.7
40W G30 NOSTALGIC THREAD 120V  ,E26                                     ,0,8.99,4.35,63,IC,N,7,30100789,                    ,10301,NOS40G30                                ,4.01
"G16/LED, FILAMENT,4W, 350L,120V","2700K, MILKY                            ",0,9,4.49,63,IC,N,7,30100846,                    ,10301,776612,4.94
LED13PAR30L/FL40/827/WD        ,13W LED PAR30LN 2700K FLOOD WET DIMM    ,0,9.99,5.95,63,IC,N,9,30100896,739698772837,10301,772731,5.95
7W LED PAR20 2700K FLOOD       ,WET DIMMABLE                            ,0,6.59,3.95,63,IC,N,8,30100903,739698772714,10301,772711,3.95
16W LED A21 DIMMABLE 2700K E26 ,120V                                    ,0,26.25,5.95,63,IC,N,9,30100929,                    ,10301,774124,3.75
13W LED PAR30SN 2700K FLOOD WET,DIMMABLE                                ,0,14.99,3.95,63,IC,N,9,30100945,                    ,10301,772721,5.95
60W A19 HALF MIRROR E26 BASE   ,"120V, 2700K, 610L DIMMABLE              ",0,5.1,1.53,63,IC,N,7,30100987,                    ,10301,712160,2.1
32W T8 BI-PIN 4100K 2800L      ,"6"" U-BEND                               ",0,13.72,3.92,63,IC,N,9,30101000,                    ,10301,522241,5.6
15W LED PAR38 3000K 1200L FLOOD,WET  DIMMABLE                           ,0,11.99,7.78,0,Z7,N,9,30101018,739698772912,10301,772743,7.95
24W T5 MINI BI-PIN FROST 4100K ,1750L                                   ,0,9.31,2.66,63,IC,N,9,30101034,                    ,10301,519242,2.66
40W ST18 E26 120V ANTIQUE      ,FINISH 2200K 135L                       ,0,9,2.95,63,IC,N,7,30101050,739698134192,10301,134019,3.7
40W G25 E26 120V WHITE FINISH  ,2700K 280L DIMMABLE                     ,0,2,0.52,63,IC,N,7,30101068,                    ,10301,393004,0.8
"400W, ED37, METAL HALIDE, CLEAR","FINISH, E39, 4000K, 39000L              ",0,29.79,8.51,63,IC,N,9,30101076,                    ,10301,663405,8.51
8W T5 MINI BI-PIN FROST 4100K  ,350L                                    ,0,3.05,0.87,63,IC,N,9,30101084,                    ,10301,501108,1.25
32W T8 MED BI-PIN FROST 4100K  ,3000L                                   ,0,4.55,1.3,63,IC,N,9,30101092,                    ,10301,528732,1.65
32W T8 MED BI-PIN FROST 3500K  ,3000L                                   ,0,2.76,1.5,63,IC, ,9,30101109,739698528625,10301,528632,1.5
54W T5 841K HO 48 MINI BI-PIN  ,                                        ,0,5.7,2.66,63,IC,N,2,30101117,                    ,10301,519542,3.8
15W T8 41K 18 MINI BI-PIN      ,                                        ,0,5.04,1.44,63,IC,N,9,30101125,                    ,10301,501115,2.05
40W B10 TORPEDO CLEAR E12 120V ,                                        ,0,1.79,0.51,63,IC,N,9,30101133,                    ,10301,480040,0.85
5W LED ST18 2200K 450L FILAMENT,    DISCONTINUED REPL W/30102298  776801,0,9.99,4.95,63,IC,N,9,30101141,739698776019,10301,776601,4.95
39W PAR20 FLOOD E26 120V ECO   ,                                        ,0,5.98,1.85,63,IC,N,7,30101167,                    ,10301,682433,2.45
17W T8 MED BI-PIN FROST 4100K  ,1300L                                   ,0,6.48,0.25,63,IC,N,9,30101175,                    ,10301,528717,0.25
60W PAR30LN FLOOD E26 120V ECO ,"1070L, 29K                              ",0,7.3,3.51,63,IC,N,7,30101208,                    ,10301,683457,3
18W CFL T2 COIL 2700K E26 120V ,1200L                                   ,0,3.5,2.15,63,IC,N,2,30101224,                    ,10301,509019,3.05
13W QUAD 827K G24Q-1 4 PIN     ,                                        ,0,14.95,2.15,63,IC,N,9,30101232,                    ,10301,524213,2.15
15W LED BR40 2700K E26 120V    ,FROST FINSIH 1400L                      ,0,28.88,9.78,63,IC,N,9,30101282,                    ,10301,772852,8.25
28W T5 841K 48 MINI BI-PIN     ,                                        ,0,7.11,2.9,0,Z7,N,9,30101307,                    ,10301,519282,2.9
60W ST18 NOSTALGIC THREAD 120V ,                                        ,0,9,3.7,63,IC, ,3,30101480,739698136011,10301,136019,3.09
43W A19 CLEAR                  ,                                        ,0,2.99,0.85,63,IC, ,3,30101571,739698115047,10301,115042,1.76
5W LED CA10 2700K FIL E12 CLR  ,                                        ,0,9,3.95,63,IC,N,7,30101612,739698788784,10301,776628,4.5
"16W LED A21 DIMMABLE, 3000K E26","120V, FROST FINISH                      ",0,12.38,5.68,63,IC,N,9,30101638,739698100050,10301,774125,4.95
"26W TRI-TUBE, 82CRI, 4100K,    ",GX24Q-3 4-PIN BASE                      ,0,6.48,2.82,0,Z7,N,9,30101654,                    ,10301,524346,2.65
5W LED B11 3000K CLEAR E12     ,                                        ,0,9,4.45,63,IC, ,7,30101787,739698788777,10301,776627,4.5
8W LED R20 3000K JA8 E26 120V  ,                                        ,0,13.83,3.91,63,IC,N,9,30101886,                    ,10301,772813,3.95
13W LED PAR30SN 4000K NFL      ,                                        ,0,12.99,5.95,65,ID, ,9,30102032,                    ,10301,772726,5.95
2W LED 120L 2200K  ST18        ,CURVED FILAMENT NOSTALGIC               ,0,15.8,6.95,63,IC,N,2,30102082,                    ,10301,776510,6.95
13W PAR30SN E26 120V 3000K     ,80CRI 1000L DIMMABLE                    ,0,12.95,5.95,63,IC,N,9,30102131,739698772790,10301,772724,5.95
776864 4.5W LED 3000K CAND 120V,                                        ,0,6.7,3.03,63,IC, ,1,30102230,739698768649,10301,776864,2.95
5W LED ST18 22K FILAMENT       ,AMBER                                   ,0,12.4,5.34,63,KP, ,2,30102298,                    ,10301,776801,5.49
32W T8 FLUORESCENT TUBE 65K    ,BI-PIN                                  ,0,4.95,2.4,63,KN,N,9,30102389,                    ,10301,528932,2.4
250W RED HEAT LAMP             ,                                        ,0,12.5,5.2,63,KL,N,9,30102412,                    ,10301,714125,5.2
LED 2.5W T6 22K E12 DIMMABLE   ,                                        ,0,0,3.2,63,KP,N,9,30102438,                    ,10301,776804,3.5
8.5W LED G40 27K FILAMENT      ,                                        ,0,15.8,6.95,63,KP,N,2,30102488,739698768786,10301,776878,6.95
9.5W LED 27K GU24 A19 FULLY    ,COMPATIBLE DIMMING                      ,0,4.73,1.35,63,KM,N,7,30102595,                    ,10301,865009,1.35
PEND DIR WIRE CONTEMP SOCKET   ,BLACK - BLK CORD                        ,0,0,19.95,63,KP,N,9,30102652,                    ,10301,810084,19.95
40W G40 GLOBE CLEAR E26 125V   ,#40G40CL      12 PACK                   ,0,6.2,2.55,63,KL,N,2,30102660,                    ,10301,351040,2.55
13W PAR30LN 2700K 40DEG        ,                                        ,0,10.79,6.19,63,KQ, ,9,30102678,739698772073,10301,772605,6.45
8W LED CA10 27K DIMMABLE LED   ,                                        ,0,6.7,3.35,63,IC, ,1,30102751,739698768595,10301,776859,3.35
3.6W LED B11 2700K FROSTED     ,                                        ,0,7.9,3.49,63,IC, ,1,30102777,739698767727,10301,776772,3.49
LED 4W 27K G16 CLEAR           ,                                        ,0,7.8,3.95,63,IC, ,3,30102793,739698768731,10301,776873,3.95
4W MED BASE B11 27K TORPEDO    ,                                        ,0,6.7,3.27,63,IC, ,7,30102826,739698768625,10301,776862,3.59
.7W LED S14 27K FILAMENT CLEAR ,USE 15 W/ 810077 30102925 STRING LIGHTS ,0,3.5,0.01,63,KP,N,2,30102941,                    ,10301,776685,0.01
776865 5W LED T9 LONG FILAMENT ,BULB CLEAR                              ,0,12.4,6.45,63,IC, ,7,30103080,739698768656,10301,776865,5.49
7W LED G25 2700K FIL E26 DIM   ,                                        ,0,6.7,2.57,63,IC, ,7,30103098,                    ,10301,776694,2.95
776890 LED G25 3K              ,                                        ,0,12.4,5.58,63,IC, ,7,30103147,739698776903,10301,776890,5.65
LED 7W ST18 30K E26 DIMMABLE   ,                                        ,0,6.7,3.35,63,KP,N,2,30103254,                    ,10301,776693,3.35
"7W LED ST18 27K, E26, DIMMING  ",CLEAR                                   ,0,6.7,3.6,63,KP,N,2,30103311,                    ,10301,776692,3.35
8.5W LED A19 27K FIL DIMMABLE  , ENERGY STAR                            ,0,11.2,5.6,63,IC, ,7,30103353,739698767765,10301,776774,5.6
15W LED PAR38 3000K FLOOD WET  ,DIMMABLE                                ,0,13.9,5.95,63,KP, ,9,30103486,739698773797,10301,772792,5.95
8.5W LED A19 3000K FIL (DIM)   ,                                        ,0,9.5,4.95,63,KP, ,8,30103501,739698767772,10301,776768,0
LED 4W B11/27K/FIL/4/JA8       ,                                        ,0,6.7,2.97,63,KP,N,2,30103527,739698767789,10301,776756,2.95
4WLED G25 22K CURVED SPIRAL FIL,                                        ,0,15.8,6.95,63,KP, ,0,30103626,                    ,10301,776512,0
9W A19 2700K                   ,                                        ,0,15.8,6.95,63,KP, ,7,30103824,                    ,10301,776813,6.95
15W LED PAR38 2700K FLD WET DIM,                                        ,0,13.9,6.41,63,IC, ,7,30104103,739698773773,10301,772788,6.31
6.5W LED PAR20 27 FLOOD WET DIM,                                        ,0,5.5,2.35,63,IC, ,9,30104129,                    ,10301,772261,2.35
4.5W LED CA10 3000K MILKY      ,                                        ,0,7.9,3.49,63,KP, ,7,30104153,                    ,10301,776861,3.49
"9W, 27K, LED, A19, 800L        ",WARM WHITE                              ,0,2.5,1.25,63,KP,N,2,30104195,                    ,10301,774234,1.25
"9W LED A19, 60W EQUIV, DIMM    ","30K, E26, 120V                          ",0,2.99,1.25,63,IC,N,3,30104377,                    ,10301,774235,1.25
LED9A19/B60W/8271P             ,                                        ,0,2.2,0.95,63,IC, ,3,30104418,739698774602,10301,774230,0.85
LED2G16/2100K                  ,                                        ,0,9,4.07,63,IC, ,7,30104426,739698769066,10301,776906,4.07
5W LED B11 2700K E12 CLEAR     ,                                        ,0,9,4.07,63,IC, ,7,30104434,                    ,10301,776626,4.5
LED4T6/3K/FIL/3                ,                                        ,0,7.99,3.95,63,ID, ,7,30104567,739698901572,10301,776791,3.95
 LED REFLECTOR FLOOD RETROFIT  ,27K FROSTED DIMMABLE                    ,0,6.99,3.45,63,KP, ,7,30104690,                    ,10301,772814,3.45
BULBRITE 772741 15 WATT PAR38  ,LED WHITE FLOOD DIMMABLE                ,0,11.99,6.95,63,ID, ,7,30104749,                    ,10301,772741*                                 ,6.95
2.5W LED G16 27K FILAMENT E12  ,                                        ,0,7.99,3.9,63,KP, ,7,30104806,                    ,10301,776706,3.9
1.4 WATT LED S14 MED BASE      ,WARM WHITE   MUST BE BOUGHT 25 CASE QTY ,0,8.33,6.3,0,Z7,N,7,35600221,                    ,20356,PS14-E26-WW-NA                          ,4.95
1.5W S14 LED BULB WARM WHITE   ,                                        ,0,10,2.5,0,Z7,N,7,35601188,                    ,20356,S14-LED-WW                              ,2.5
LED T8 DIRECT REPLACEMENT LAMP;,14W; 80 CRI; 3500K; 1800 LUMENS         ,0,26.78,7.65,63,IC, ,7,36800804,                    ,50368,HN-T8-D-48-14W-835-G1                   ,7.65
LED 4'T8 DIRECT REPLACEMENT    ,"GLASS LAMP, 11W, 4000K                  ",0,20.3,5.8,0,Z7,N,7,36800870,                    ,50368,HN-T8-D-48-11W-840-G2                   ,5.8
2W TUBULAR T6 - AMBER 22K      ,VINTAGE       QUOTE # SPQ-000257        ,0,16.45,5.21,63,KP,N,3,37700251,                    ,50377,LTTB6V20022CB-90                        ,4.7
60W G9 120V FROSTED            ,                                        ,0,6.99,3.41,63,IC, ,8,43903112,                    ,20439,S4649                                   ,3.41
120V 30/70/100 A21 WHITE 3-WAY ,                                        ,0,2.99,0.85,0,Z7,N,7,43903162,                    ,20439,S1820                                   ,1.56
S8340 CFD26W/4P/841            ,                                        ,0,7.99,3.05,63,IC, ,7,43903310,                    ,20439,S8340                                   ,3.08
40ST19 VINTAGE HAIRPIN LAMP    ,                                        ,0,8.99,4.95,63,IC, ,8,43903922,                    ,20439,S2414                                   ,4.57
S8139  F24T5/HO/841 24W T5 HO  ,841,0,8.99,2,65,KC,N,7,43903956,                    ,20439,S8139                                   ,3.04
S9002 DITTO 8W E20 3000K       ,                                        ,0,17.95,9.95,63,IC, ,9,43904532,                    ,20439,S9002                                   ,11.95
"LED 15W,PAR38,FLOOD,30K,120V   ",                                        ,0,10.95,6.31,0,Z7,N,3,43905449,45923294464,20439,S29446                                  ,6.31
S2257 70W PAR38 30DEG FL 120V  ,                                        ,0,10.99,4.15,63,IC, ,7,43905564,45923022579,20439,S2257                                   ,5.51
65W BR30 FLOOD TEFLON COATED   ,120V                                    ,0,9.99,3.95,0,Z7,N,8,43905598,                    ,20439,S4887                                   ,3.95
"S8458 32W T8 U-BEND 6"" 4100K   ",                                        ,0,12.99,4.5,0,Z7,N,8,43906207,                    ,20439,S8458                                   ,5.92
S8132 28W T5 FLUORESCENT TUBE  ,3500K   40 PER CASE                     ,0,3.98,2.39,0,Z7,N,9,43906215,                    ,20439,F28T5835                                ,2.39
6W T5 MINIATURE BI-PIN G5 260L ,4000K COOL WHITE                        ,0,2.98,1.19,0,Z7,N,7,43906273,                    ,20439,S1902                                   ,1.19
"S9380 4.5MR16,LED,40,3000K     ",                                        ,0,7.95,3.99,63,IC, ,7,43906653,                    ,20439,S9380                                   ,3.99
S9630 DITTO 6.5W R20 2700K     ,                                        ,0,5.95,3.5,63,IC, ,7,43906744,45923096303,20439,S9630                                   ,3.54
"S9615 16.5W BR40, 2700K, 90CRI ",                                        ,0,20.99,6.95,63,IC, ,9,43906778,                    ,20439,S29615                                  ,12.95
S3374 25W F10 CANDELABRA BASE  ,AMBER  25F10/A                          ,0,0.99,0.62,63,IC,N,7,43906827,                    ,20439,S3374                                   ,0.85
S9383 6.5W 3000K GU10          ,                                        ,0,9.95,1.95,63,IC, ,7,43906835,45923093838,20439,S9383                                   ,4.28
S3930 60W A19 TEFLON COATED    ,BULB                                    ,0,0.99,0.85,63,IC,N,8,43907015,                    ,20439,S3930                                   ,0.85
S3942 60A19 CLEAR BULB         ,                                        ,0,0.88,0.25,63,IC,N,9,43907031,                    ,20439,S3942                                   ,0.25
S9591 6.5W;A19LED;FROST 3000K  ,MED BASE;240° BEAM SPREAD 120V NON-DIM  ,0,2.95,1.3,63,IC, ,7,43907065,45923095917,20439,S9591                                   ,1.53
S9495 6.5 LED MR16 2700K 40DEG ,                                        ,0,9.95,5.5,63,IC, ,8,43907247,45923094958,20439,S9495                                   ,4.95
S9581 6.5W ST19 2700K 120V     ,USE GENERIC 30100888                    ,0,11.95,4.79,63,IC, ,8,43907338,                    ,20439,S9581                                   ,5.65
S29841 9.8 WATT A19 3500K GU24 ,                                        ,0,4.95,2.13,63,IC,N,3,43907403,                    ,20439,S29841                                  ,2.13
13 WATT CFL GU24 3500K         ,                                        ,0,9.99,1.59,0,Z7,N,7,43907487,                    ,20439,S8226                                   ,5.06
S9564   6.5W LED G25 CLEAR MED ,BASE 2700K 810L (REPLACED S9255)        ,0,6.95,5.25,0,Z7,N,8,43907544,                    ,20439,S9564                                   ,5.25
S9496 6.5W MR16 3000K 40DEG    ,                                        ,0,9.95,5.3,63,IC, ,7,43907685,45923094965,20439,S9496                                   ,4.95
9.5W A19 LED 27K  800L 120V MED,BS 240° SPRD DIM   $2.06                ,0,2.95,2.06,0,Z7,N,8,43907734,                    ,20439,S29629                                  ,2.06
S9578 4.5ST19/AMB/LED/E26/23K  ,120V  400 LUMENS                        ,0,7.95,4.75,0,Z7,N,2,43907825,                    ,20439,S9578                                   ,4.75
S9815 15.5 A21 2700K 120V      ,                                        ,0,13.25,5.25,63,IC, ,9,43907908,                    ,20439,S29815                                  ,5.25
S9228 5W G9 LED 3000K 120V     ,                                        ,0,10.95,6.49,63,IC, ,7,43907932,                    ,20439,S9228                                   ,5.81
S6483 F60T12/D                 ,                                        ,0,4.99,6.5,0,Z7,N,9,43908138,                    ,20439,S6483 F60T12D                           ,6.5
S6457 F60T12/D/HO              ,                                        ,0,28,6.95,63,IC,N,9,43908146,                    ,20439,S6457 F60T12DH                          ,6.95
S6485 F64T12/D                 ,                                        ,0,26,6.5,0,Z7,N,9,43908154,                    ,20439,S6485 F64T12D                           ,6.5
S6458 F64T12/D/HO              ,                                        ,0,28,6.95,63,IC,N,9,43908162,                    ,20439,S6458 F64T12DH                          ,6.95
S6462 F96T12/D/HO              ,                                        ,0,18.99,3.95,0,Z7,N,7,43908203,                    ,20439,S6462 F96T12DH                          ,3.95
2.5W LED AMBER 23K ST19 MED BSE,"220L,120V DIM                           ",0,7.95,4.95,0,Z7,N,8,43908295,                    ,20439,S9577 2.5ST19/AMB                       ,4.95
S9564/TF 6.5W LED G25 CLR MED  ,2700K 810L                              ,0,6.95,7.25,65,KC,N,9,43908378,                    ,20439,S9564/TF                                ,7.25
43W LED T8 40K 8' LAMP         ,10 PACK                                 ,0,29.95,17.95,63,IC,N,9,43908493,                    ,20439,S9918                                   ,17.95
"48"" 14W LED T8 BY PASS 40K LAMP","MED BI-PIN, NON-DIMMABLE 120/277V       ",0,27.83,7.95,63,IC,N,9,43908550,                    ,20439,S9915                                   ,7.95
18W LED CORN COB MED BASE 2400L,"MOL 6 7/8"" 5000K E26 120/277V           ",0,64.5,23.95,63,IC,N,9,43908823,                    ,20439,S9390                                   ,23.95
2.5W G16 CANDELABRA LED FILAMNT,LAMP DIMMABLE E12 BASE CLEAR            ,0,4.95,3.25,63,IC,N,7,43909003,                    ,20439,S9870                                   ,3.22
4.5W A15 LED FILAMENT  BULB    ,27K MED BASE DIMMABLE CLEAR             ,0,20.83,4.71,63,IC,N,9,43909029,                    ,20439,S29874                                  ,3.95
25W T5 LED DIRECT REPLACEMENT  ,"3500L, 50,000HR, 5000K                  ",0,15.31,8.5,63,IC,N,9,43909087,                    ,20439,S9911                                   ,8.5
10W A19 GU24 BASE 3K DIMMABLE  ,90CRI 800L                              ,0,6.95,3.1,63,IC,N,7,43909201,                    ,20439,S9708                                   ,4.27
2.5T6/LED/CL/27K/E12/120V      ,                                        ,0,380,3.1,63,KP,N,9,43909251,                    ,20439,S9872                                   ,3.1
"6.5W A19 LED, CLEAR, MED BASE  ","3000K, 800L, 120V                       ",0,20.83,3.95,0,Z7,N,9,43909384,                    ,20439,S9894                                   ,3.95
20W/A21 MED. BASE 2700K LED DIM, 2900 LUMEN                             ,0,27.95,17.5,0,Z7,N,7,43909392,                    ,20439,S8735                                   ,15.09
2W A19 LED RED MED BASE 120V   ,                                        ,0,4.95,2.95,0,Z7,N,9,43909508,                    ,20439,S9642  (2A19/LED/RED/120V               ,2.95
"9.8W, A19 LED 3500K MED BASE   ",220°BM SPREAD DIM                       ,0,3.99,1.7,0,Z7,N,7,43909649,                    ,20439,S29837                                  ,1.7
"15.5W A19 LAMP, 4000K, 1600L   ","120V, DIMMABLE, GU24 BASE               ",0,8.95,5.25,0,Z7,N,7,43909730,                    ,20439,S29805                                  ,5.55
