IMDESC,ITMDSC,PRICCD,IMLIST,IMTCST,GROUP,IMSTYL,IMSER,IMRANK,IMGEN,IMXRBC,IMVND,ITEM,IMMCST
2M 100W 12X8 BRS NKL BATH BRKT ,                                        ,0,154.98,37,2,AP, ,7,65264112,785652002984,20652,41161-962                               ,37
1M 60W 8X10 EXT WALL MOUNT     ,                                        ,0,104.96,35,10,DW, ,8,65264493,785652069345,20652,8537401-12                              ,35
1M 60W 16X15 EXT WALL MOUNT    , QUOTE#30097481                         ,0,252.96,90,10,DW, ,7,65264500,785652069444,20652,8837401-12                              ,90
2M 60W 14X8 BRZ BATH BRKT      ,QUOTE #30101440                         ,0,129.98,31,2,AP, ,4,65264592,785652059841,20652,4428802-710                             ,48
3M 60W 16X18 BRZ PENDANT       ,                                        ,0,289.98,73.04,16,H4, ,4,65264609,785652059926,20652,6528803-710                             ,73.4
5M 60W 24X14 BRZ CHAN          ,                                        ,0,294.98,73.4,16,H4, ,4,65264617,785652059766,20652,3128805-710                             ,73.4
3M 60W 23X8 BRZ BATH BRKT      ,                                        ,0,159.98,42.97,2,AQ, ,3,65264625,785652059865,20652,4428803-710                             ,42.98
1M 11IN BLACK OUTDOOR LIGHT    ,                                        ,0,141.96,49.48,10,DW, ,4,65264691,785652069352,20652,8637401-12                              ,49.48
"MED ONE LIGHT PEND BRONZE,LED  ","A19 LAMP INCLUDED, WHITE GLASS          ",0,222.96,111.48,16,HD,N,7,65264716,                    ,20652,65437EN3-782                            ,111.48
1M 60W 7X17 BRZ WALL MOUNT     ,                                        ,0,152.98,63.45,10,DY, ,7,65264899,785652057199,20652,84580-71                                ,76.49
1M 60W 13X15 CHROME PENDANT    ,                                        ,0,177.96,71.55,16,HD, ,7,65265110,785652077463,20652,6551801-05                              ,79.5
1M 60W 13X10 BLK EXT WALL      ,                                        ,0,152.98,76.49,10,DW, ,7,65265285,785652079108,20652,8638501-12                              ,76.49
